id_w1,ppethm,ppeducat,sex,ppincimp,ppwork,xparty7
15385,0,2,1,9,1,6
21988,0,3,0,17,0,5
71498,0,2,1,11,4,0
80145,0,3,1,15,0,1
86448,0,2,0,17,0,2
96719,0,1,1,8,4,4
99064,0,2,1,8,4,0
102853,0,2,1,6,4,6
105155,0,1,0,13,0,6
116583,4,2,1,11,5,1
117734,4,2,0,7,0,5
121780,3,1,0,14,4,0
122851,0,2,1,15,0,2
123915,1,3,0,15,0,4
161140,0,2,0,12,4,0
165759,0,2,1,15,0,2
172976,0,1,0,11,4,2
173659,0,3,0,11,0,5
175221,0,1,1,9,4,5
179437,2,1,0,13,0,6
190795,0,2,1,14,0,1
192394,1,1,1,11,1,6
230240,0,2,1,11,4,6
264195,0,3,1,17,0,4
284139,0,2,0,18,0,0
296090,0,3,0,10,1,6
296329,3,2,0,10,0,1
296672,0,3,0,19,4,2
298225,0,2,1,12,4,1
298798,0,2,1,8,5,0
301691,0,2,1,16,4,6
310518,0,3,0,18,4,4
311260,4,3,1,16,1,4
311516,0,2,1,14,4,0
311596,0,2,1,5,4,0
311844,0,3,0,15,4,2
312893,0,3,0,20,1,0
313159,0,2,1,14,0,1
314233,0,3,1,19,0,1
315390,0,2,1,15,0,6
315622,4,2,0,17,6,2
315785,0,3,1,14,0,1
316563,0,2,0,7,0,6
317805,2,3,0,18,0,5
317949,0,3,0,20,0,4
318949,0,2,1,15,0,1
319249,0,3,1,14,3,1
319333,0,3,0,14,4,2
322658,1,3,0,19,0,5
326118,0,1,0,11,4,4
327253,2,3,0,18,0,4
327644,0,3,1,18,4,4
327831,0,1,0,16,1,6
331698,0,2,0,15,0,0
334797,0,3,0,15,0,1
334888,0,3,0,8,4,0
336462,0,3,0,19,4,1
336785,0,3,0,19,0,4
336801,0,3,1,16,4,5
337983,0,3,0,17,4,6
338553,0,3,0,19,4,0
338870,0,3,0,8,4,6
351571,3,3,0,19,1,2
352249,0,3,1,14,0,0
354424,0,1,1,15,0,0
355872,3,2,1,11,0,6
355989,0,2,0,16,0,2
358602,0,1,0,10,4,4
358610,0,3,0,15,4,5
360244,0,2,1,12,0,0
362367,0,2,0,14,0,2
363613,0,1,0,14,1,1
365509,2,3,0,15,4,5
365742,0,1,0,9,4,4
366208,0,3,0,18,0,2
369548,0,2,1,5,4,6
369844,0,2,0,19,4,6
370050,0,1,0,14,2,0
370564,0,3,0,16,0,6
371027,1,1,1,5,0,6
372348,0,3,1,12,4,1
372458,2,3,0,8,4,1
372602,0,1,0,11,6,2
374719,1,3,1,17,4,5
374751,0,1,0,5,0,0
376046,0,1,1,8,4,0
377133,0,3,0,17,4,0
379275,0,1,1,6,4,2
379640,1,2,0,7,0,5
381097,0,3,1,15,0,0
382397,0,3,1,10,4,4
383062,0,1,1,12,0,0
383235,0,1,1,12,0,2
385671,0,3,1,15,4,0
388520,0,1,0,8,4,2
390074,0,3,1,17,0,6
391390,0,1,0,10,0,5
391981,0,2,1,13,4,0
393173,0,1,1,15,4,5
394379,0,3,0,20,0,5
394828,0,3,1,17,3,6
396156,0,3,0,10,0,2
399742,0,3,0,17,0,1
400773,0,0,1,11,6,2
402963,1,3,1,8,0,6
405127,0,1,1,6,4,1
405161,0,2,1,6,0,6
410123,0,1,0,9,1,1
411013,0,3,0,20,0,6
413333,0,1,1,12,0,6
413496,1,3,0,15,0,6
413826,0,3,0,19,0,6
414222,0,2,1,9,0,1
414430,4,0,0,7,5,4
414741,1,1,0,12,0,4
414884,0,1,1,6,4,0
417682,0,2,0,18,0,6
418564,0,3,0,18,0,1
421488,0,3,0,20,0,0
421986,1,1,1,4,4,6
426197,0,2,1,10,0,6
427335,0,1,0,12,0,6
427711,0,3,0,12,4,0
431071,0,2,1,2,5,2
431270,0,2,1,11,0,2
431488,0,3,0,12,0,0
431574,0,2,1,15,6,2
