id_w1,ppethm,ppeducat,sex,ppincimp,ppwork,xparty7
15385,0,2,1,9,1,6
21105,0,1,0,7,1,3
21275,0,1,0,10,4,0
21988,0,3,0,17,0,5
33907,4,1,1,12,0,5
39659,0,1,0,12,4,6
47437,0,2,1,12,4,3
80145,0,3,1,15,0,1
58056,4,2,0,12,4,0
66951,0,2,0,17,0,2
68286,0,2,0,17,0,1
71498,0,2,1,11,4,0
80913,0,3,1,17,0,6
86448,0,2,0,17,0,2
95928,0,0,1,18,4,0
96719,0,1,1,8,4,4
99064,0,2,1,8,4,0
102853,0,2,1,6,4,6
103607,0,1,0,14,4,6
104067,0,2,0,15,4,6
105155,0,1,0,13,0,6
111478,0,3,0,15,4,2
116583,4,2,1,11,5,1
117734,4,2,0,7,0,5
119737,0,3,0,11,0,1
120901,0,2,0,10,0,1
121780,3,1,0,14,4,0
122851,0,2,1,15,0,2
123915,1,3,0,15,0,4
146669,0,3,0,14,0,0
150859,0,3,0,15,4,2
159894,0,3,1,18,0,4
160928,0,3,1,15,0,4
161140,0,2,0,12,4,0
165759,0,2,1,15,0,2
1552549,3,0,0,15,0,4
172976,0,1,0,11,4,2
173659,0,3,0,11,0,5
175221,0,1,1,9,4,5
179437,2,1,0,13,0,6
190795,0,2,1,14,0,1
192394,1,1,1,11,1,6
1023268,0,2,0,15,0,6
1460730,0,0,0,7,4,4
230240,0,2,1,11,4,6
264195,0,3,1,17,0,4
282530,0,3,0,15,0,2
283325,3,1,1,9,6,6
284139,0,2,0,18,0,0
295617,0,3,1,12,4,6
296049,0,1,0,3,4,0
296090,0,3,0,10,1,6
296329,3,2,0,10,0,1
296672,0,3,0,19,4,2
298225,0,2,1,12,4,1
298798,0,2,1,8,5,0
300967,0,1,0,17,4,2
301226,2,2,0,15,0,4
301691,0,2,1,16,4,6
310191,0,3,1,18,6,6
310518,0,3,0,18,4,4
311075,0,3,1,15,0,2
311260,4,3,1,16,1,4
311516,0,2,1,14,4,0
311596,0,2,1,5,4,0
311755,0,3,0,16,0,0
311952,2,2,1,18,4,5
312893,0,3,0,20,1,0
734174,0,1,1,8,0,3
313159,0,2,1,14,0,1
314109,0,3,1,20,0,2
314233,0,3,1,19,0,1
314584,0,3,1,18,0,6
315345,0,3,0,16,4,2
315390,0,2,1,15,0,6
315622,4,2,0,17,6,2
315785,0,3,1,14,0,1
316563,0,2,0,7,0,6
316617,0,1,1,12,4,0
316716,0,1,1,3,5,5
317117,0,3,0,15,4,6
317805,2,3,0,18,0,5
317949,0,3,0,20,0,4
318118,2,2,1,19,0,6
318227,0,1,1,10,0,5
318483,4,2,1,13,0,4
318949,0,2,1,15,0,1
319249,0,3,1,14,3,1
319313,0,3,0,15,4,6
319333,0,3,0,14,4,2
322658,1,3,0,19,0,5
326091,0,1,0,12,0,6
326118,0,1,0,11,4,4
326776,0,1,0,7,4,0
327253,2,3,0,18,0,4
327644,0,3,1,18,4,4
327707,0,2,1,12,0,6
327831,0,1,0,16,1,6
1086975,0,2,1,15,6,0
331474,0,1,0,11,4,1
331698,0,2,0,15,0,0
331721,0,3,1,20,0,5
332044,0,2,0,0,0,4
333036,0,3,1,15,0,4
333429,0,1,1,14,4,0
334138,0,1,1,9,0,0
334496,0,2,0,16,0,4
334797,0,3,0,15,0,1
334888,0,3,0,8,4,0
334984,0,3,1,15,4,0
335133,0,1,1,15,0,2
335460,0,1,0,5,4,2
1181501,0,2,1,12,0,1
336229,0,3,1,11,0,0
336462,0,3,0,19,4,1
336785,0,3,0,19,0,4
336801,0,3,1,16,4,5
337479,0,2,1,12,0,2
337487,0,1,1,11,4,2
337983,0,3,0,17,4,6
338553,0,3,0,19,4,0
338870,0,3,0,8,4,6
338886,0,1,0,14,4,5
339391,1,3,0,10,0,5
350107,0,2,1,17,0,5
351571,3,3,0,19,1,2
352249,0,3,1,14,0,0
352381,0,3,0,20,0,0
1074943,0,2,1,8,0,0
353491,0,1,1,15,6,4
353608,1,1,0,14,0,6
353631,3,3,1,17,0,6
353858,1,3,0,13,0,4
473235,1,2,0,12,0,4
354424,0,1,1,15,0,0
354974,2,3,0,14,0,0
1065418,4,3,0,11,0,6
355872,3,2,1,11,0,6
355989,0,2,0,16,0,2
356055,0,1,1,14,0,4
358420,0,1,1,8,0,2
358602,0,1,0,10,4,4
358610,0,3,0,15,4,5
359737,0,1,1,14,4,5
359810,0,2,1,11,4,4
360244,0,2,1,12,0,0
360847,0,1,0,11,5,0
361198,0,3,1,15,0,0
361297,0,1,1,16,0,0
724148,0,3,1,13,0,6
361645,0,1,1,16,1,1
1084788,0,3,0,17,1,2
361993,3,3,0,16,4,4
362367,0,2,0,14,0,2
362976,0,1,0,12,0,4
864333,3,2,0,11,0,6
1445344,0,3,0,19,0,4
363613,0,1,0,14,1,1
364591,0,3,1,13,0,1
365239,0,2,0,12,0,3
365509,2,3,0,15,4,5
365742,0,1,0,9,4,4
366208,0,3,0,18,0,2
366747,0,2,1,12,6,1
367017,0,2,0,17,4,6
367166,0,2,1,15,0,0
367957,0,1,0,9,4,0
369020,0,3,1,15,4,2
369168,0,3,0,15,4,0
369459,0,0,1,6,5,5
369496,0,1,1,13,0,1
369548,0,2,1,5,4,6
369844,0,2,0,19,4,6
370050,0,1,0,14,2,0
370498,0,2,0,19,0,2
370564,0,3,0,16,0,6
371027,1,1,1,5,0,6
371068,0,2,0,12,4,0
371211,0,3,0,19,4,6
1090317,2,2,0,17,0,0
372066,2,3,0,18,0,2
372114,0,1,0,10,5,5
372241,0,2,0,17,0,4
372348,0,3,1,12,4,1
372458,2,3,0,8,4,1
372594,1,0,1,10,4,6
372602,0,1,0,11,6,2
372642,0,0,0,11,1,4
372699,0,3,0,12,0,5
373031,0,3,0,17,0,5
373221,0,1,0,15,0,1
373364,0,2,1,11,4,4
373835,0,1,0,11,0,0
374072,0,1,0,18,0,6
374719,1,3,1,17,4,5
374751,0,1,0,5,0,0
374815,0,3,1,15,0,2
376046,0,1,1,8,4,0
376132,0,2,1,17,4,6
376235,0,3,0,19,0,5
376541,3,2,1,13,0,6
377133,0,3,0,17,4,0
378814,0,3,0,14,4,1
379234,0,2,1,15,0,0
379275,0,1,1,6,4,2
379297,0,3,0,16,0,4
379640,1,2,0,7,0,5
381097,0,3,1,15,0,0
381170,0,3,0,6,5,6
382397,0,3,1,10,4,4
382850,4,2,1,12,3,2
383062,0,1,1,12,0,0
383235,0,1,1,12,0,2
383341,2,3,1,17,6,4
383678,0,3,1,14,0,0
383888,0,3,0,15,0,6
385287,0,2,1,15,6,0
385671,0,3,1,15,4,0
386561,0,2,1,16,6,1
387814,0,2,0,14,1,2
388520,0,1,0,8,4,2
388581,0,3,0,14,0,5
390074,0,3,1,17,0,6
390305,0,1,1,6,1,6
1120482,1,2,0,11,0,6
391390,0,1,0,10,0,5
391750,0,2,0,10,4,5
391981,0,2,1,13,4,0
393173,0,1,1,15,4,5
394379,0,3,0,20,0,5
394579,0,3,1,3,5,6
394828,0,3,1,17,3,6
395108,0,3,0,15,0,0
395252,0,3,0,18,1,4
396156,0,3,0,10,0,2
396220,0,2,0,10,0,6
396251,0,1,1,13,0,6
584990,0,2,0,5,3,1
397358,0,3,1,14,4,5
399477,0,1,0,13,4,1
399742,0,3,0,17,0,1
400773,0,0,1,11,6,2
400777,0,2,1,12,0,5
402306,0,3,0,17,4,1
402963,1,3,1,8,0,6
403668,3,1,1,13,0,3
405127,0,1,1,6,4,1
405161,0,2,1,6,0,6
957131,0,0,0,12,3,5
406035,0,3,0,13,0,1
407248,0,2,0,19,0,4
407296,0,3,0,13,0,0
409835,0,2,0,12,0,6
410123,0,1,0,9,1,1
410899,0,2,1,9,0,1
411013,0,3,0,20,0,6
411473,0,3,0,20,0,0
1160496,0,2,1,5,0,0
413178,0,3,1,9,1,6
413333,0,1,1,12,0,6
